Room_id,Room Type
101,Beach Room
102,Beach Room
103,Beach Room
104,Beach Room
105,Beach Room
6,Beach Room
7,Beach Room
8,Beach Room
9,Beach Room
10,Beach Room
11,Beach Room
12,Beach Room
13,Beach Room
14,Beach Room
15,Beach Room
16,Beach Room
17,Beach Room
18,Beach Room
19,Beach Room
20,Beach Room
21,Beach Room
22,Beach Room
23,Beach Room
24,Beach Room
25,Beach Room
26,Beach Room
27,Beach Room
28,Beach Room
29,Beach Room
30,Beach Room
31,Garden Casita
32,Garden Casita
33,Garden Casita
34,Garden Casita
35,Garden Casita
36,Garden Casita
37,Garden Casita
38,Garden Casita
39,Garden Casita
40,Garden Casita
41,Garden Casita
42,Garden Casita
43,Garden Casita
44,Garden Casita
45,Garden Casita
46,Garden Casita
47,Garden Casita
48,Garden Casita
49,Garden Casita
50,Garden Casita
51,Beach Casita
52,Beach Casita
53,Beach Casita
54,Beach Casita
55,Beach Casita
56,Beach Casita
57,Beach Casita
58,Beach Casita
59,Beach Casita
60,Beach Casita
61,Beach Casita
62,Beach Casita
63,Beach Casita
64,Beach Casita
65,Beach Casita
66,Beach Casita
67,Beach Casita
68,Beach Casita
69,Beach Casita
70,Beach Casita
