Date,Room Id,is_sold,Market Segment,Rate,LOS,Booking Date,DBA
2024-04-16,101,1,Offline TA/TO,100.0,3,2024-04-16,61.0
2024-04-16,102,0,,0.0,0,,
2024-04-16,103,0,,0.0,0,,
2024-04-16,104,1,Offline TA/TO,135.0,4,2024-04-16,65.0
2024-04-16,105,1,Online TA,41.0,3,2024-04-16,4.0
2024-04-16,106,1,Transient,173.0,1,2024-04-16,78.0
2024-04-16,107,1,Online TA,138.0,1,2024-04-16,16.0
2024-04-16,108,1,Group,99.0,1,2024-04-16,62.0
2024-04-16,109,0,,0.0,0,,
2024-04-16,110,1,Online TA,138.0,5,2024-04-16,88.0
2024-04-16,111,0,,0.0,0,,
2024-04-16,112,1,Transient,101.0,2,2024-04-16,46.0
2024-04-16,113,0,,0.0,0,,
2024-04-16,114,1,Online TA,59.0,4,2024-04-16,6.0
2024-04-16,115,0,,0.0,0,,
2024-04-16,116,1,Group,96.0,3,2024-04-16,53.0
2024-04-16,117,0,,0.0,0,,
2024-04-16,118,0,,0.0,0,,
2024-04-16,119,0,,0.0,0,,
2024-04-16,120,0,,0.0,0,,
2024-04-16,121,1,Offline TA/TO,91.0,4,2024-04-16,87.0
2024-04-16,122,0,,0.0,0,,
2024-04-16,123,0,,0.0,0,,
2024-04-16,124,1,Group,84.0,5,2024-04-16,72.0
2024-04-16,125,1,Offline TA/TO,145.0,5,2024-04-16,89.0
2024-04-16,126,0,,0.0,0,,
2024-04-16,127,1,Transient,95.0,1,2024-04-16,75.0
2024-04-16,128,0,,0.0,0,,
2024-04-16,129,0,,0.0,0,,
2024-04-16,130,0,,0.0,0,,
2024-04-17,101,1,Offline TA/TO,100.0,3,2024-04-16,60.0
2024-04-17,102,1,Group,89.0,2,2024-04-17,80.0
2024-04-17,103,0,,0.0,0,,
2024-04-17,104,1,Offline TA/TO,135.0,4,2024-04-16,64.0
2024-04-17,105,1,Online TA,41.0,3,2024-04-16,3.0
2024-04-17,106,0,,0.0,0,,
2024-04-17,107,1,Transient,108.0,1,2024-04-17,36.0
2024-04-17,108,1,Group,35.0,5,2024-04-17,37.0
2024-04-17,109,1,Transient,68.0,2,2024-04-17,26.0
2024-04-17,110,1,Online TA,138.0,5,2024-04-16,87.0
2024-04-17,111,0,,0.0,0,,
